time,open,high,low,close,Volume,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2004-03-22,115084.4976,115995.2382,114670.5246,115672.3392,0,113480.4486,112768.9108,112038.15,111384.2038,109952.6597
2004-03-23,115626.093,115736.3443,114358.2026,114937.0221,0,115672.3392,113480.4486,112768.9108,112038.15,111384.2038
2004-03-24,115366.0417,115670.3645,114674.3987,115089.3845,0,114937.0221,115672.3392,113480.4486,112768.9108,112038.15
2004-03-25,115223.1316,117300.4717,114863.0593,116912.7015,0,115089.3845,114937.0221,115672.3392,113480.4486,112768.9108
2004-03-29,115504.3702,116776.9932,115366.0417,116362.0075,0,116912.7015,115089.3845,114937.0221,115672.3392,113480.4486
2004-03-30,115739.4886,117583.6137,115711.9644,117225.7984,0,116362.0075,116912.7015,115089.3845,114937.0221,115672.3392
2004-03-31,117458.3801,119196.2565,117017.0146,117568.7214,0,117225.7984,116362.0075,116912.7015,115089.3845,114937.0221
2004-04-01,117293.929,118754.2481,115089.6738,115861.1631,0,117568.7214,117225.7984,116362.0075,116912.7015,115089.3845
2004-04-05,114509.3721,115612.0142,114206.1456,115537.5858,0,115861.1631,117568.7214,117225.7984,116362.0075,116912.7015
2004-04-06,115610.7924,116879.4223,115197.1088,116631.2121,0,115537.5858,115861.1631,117568.7214,117225.7984,116362.0075
2004-04-07,116699.1949,116975.1447,115567.8004,115816.1553,0,116631.2121,115537.5858,115861.1631,117568.7214,117225.7984
2004-04-08,115775.6743,116217.0398,115775.6743,115803.2597,0,115816.1553,116631.2121,115537.5858,115861.1631,117568.7214
2004-04-12,115551.5836,116352.4909,111961.3097,112265.1021,0,115803.2597,115816.1553,116631.2121,115537.5858,115861.1631
2004-04-13,112436.5171,112796.0042,109712.7106,110777.3456,0,112265.1021,115803.2597,115816.1553,116631.2121,115537.5858
2004-04-14,111123.1076,111428.3147,109680.3107,110679.1701,0,110777.3456,112265.1021,115803.2597,115816.1553,116631.2121
2004-04-15,110512.446,111482.0964,109986.0643,110955.7148,0,110679.1701,110777.3456,112265.1021,115803.2597,115816.1553
2004-04-19,111011.1234,111066.532,109321.1612,109321.1612,0,110955.7148,110679.1701,110777.3456,112265.1021,115803.2597
2004-04-20,109628.5802,110880.048,108377.1124,108404.9228,0,109321.1612,110955.7148,110679.1701,110777.3456,112265.1021
2004-04-21,108389.6415,109529.9996,108334.0143,109196.2362,0,108404.9228,109321.1612,110955.7148,110679.1701,110777.3456
2004-04-22,108777.2284,109885.7861,108777.2284,109525.5049,0,109196.2362,108404.9228,109321.1612,110955.7148,110679.1701
2004-04-26,109868.5823,110653.1598,109729.9643,110450.7776,0,109525.5049,109196.2362,108404.9228,109321.1612,110955.7148
2004-04-27,110640.75,110751.863,106640.6827,106807.3522,0,110450.7776,109525.5049,109196.2362,108404.9228,109321.1612
