Date,USD,IDR
1/19/2014,"1.254,60 (-1.369,89)","488.271 (-875.467,22)"
1/20/2014,"1.255,90 (-1.368,59)","489.585 (-874.153,72)"
1/21/2014,"1.242,70 (-1.381,79)","484.239 (-879.499,21)"
1/22/2014,"1.240,90 (-1.383,59)","484.735 (-879.003,74)"
1/23/2014,"1.262,90 (-1.361,59)","494.344 (-869.394,77)"
1/24/2014,"1.262,20 (-1.362,29)","494.475 (-869.262,96)"
1/25/2014,"1.270,20 (-1.354,29)","497.610 (-866.128,91)"
1/26/2014,"1.270,20 (-1.354,29)","497.610 (-866.128,91)"
1/27/2014,"1.262,40 (-1.362,09)","497.557 (-866.181,17)"
1/28/2014,"1.253,20 (-1.371,29)","493.770 (-869.968,38)"
1/29/2014,"1.265,10 (-1.359,39)","495.001 (-868.736,98)"
1/30/2014,"1.243,00 (-1.381,49)","488.752 (-874.986,34)"
1/31/2014,"1.242,90 (-1.381,59)","488.713 (-875.025,66)"
2/1/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/2/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/3/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/4/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/5/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/6/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/7/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/8/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/9/2014,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
2/10/2014,"1.299,10 (-1.325,39)","480.321 (-883.417,55)"
2/11/2014,"1.269,40 (-1.355,09)","463.218 (-900.520,47)"
2/12/2014,"1.271,10 (-1.353,39)","463.838 (-899.900,12)"
2/13/2014,"1.271,10 (-1.353,39)","463.838 (-899.900,12)"
2/14/2014,"1.278,30 (-1.346,19)","466.466 (-897.272,76)"
2/15/2014,"1.272,00 (-1.352,49)","464.167 (-899.571,70)"
2/16/2014,"1.280,70 (-1.343,79)","467.444 (-896.294,03)"
2/17/2014,"1.321,70 (-1.302,79)","482.409 (-881.329,39)"
2/18/2014,"1.314,40 (-1.310,09)","478.054 (-885.684,18)"
2/19/2014,"1.318,50 (-1.305,99)","479.545 (-884.192,99)"
2/20/2014,"1.318,50 (-1.305,99)","479.545 (-884.192,99)"
2/21/2014,"1.318,00 (-1.306,49)","480.635 (-883.103,60)"
2/22/2014,"1.342,60 (-1.281,89)","488.958 (-874.780,21)"
2/23/2014,"1.336,00 (-1.288,49)","483.763 (-879.975,82)"
2/24/2014,"1.351,30 (-1.273,19)","484.415 (-879.323,32)"
2/25/2014,"1.350,90 (-1.273,59)","476.345 (-887.393,13)"
2/26/2014,"1.353,90 (-1.270,59)","477.403 (-886.335,29)"
2/27/2014,"1.353,90 (-1.270,59)","477.403 (-886.335,29)"
2/28/2014,"1.354,30 (-1.270,19)","481.136 (-882.602,05)"
3/1/2014,"1.329,00 (-1.295,49)","497.785 (-865.953,27)"
